#timestamp x y z qx qy qz qw
1670531274.90200114 9.05317308 0.52393115 0.15817008 -0.00206851 0.00128935 0.59628036 0.80277256
1670531275.00210881 9.08226103 0.61276232 0.15954431 0.00027859 0.00045735 0.60186359 0.79859873
1670531275.10226989 9.10702191 0.69993253 0.15411804 -0.00090735 0.00068667 0.60938356 0.79287476
1670531275.20223737 9.13106965 0.79894159 0.14885121 -0.00310141 0.00439186 0.62132964 0.78353083
1670531275.30207729 9.15012008 0.89525496 0.15065289 -0.00179602 0.00318010 0.63864963 0.76948899
1670531275.40196276 9.16618219 0.98859171 0.15398628 -0.00210856 0.00001103 0.65802605 0.75299221
1670531275.50196505 9.17628169 1.08549403 0.14957214 -0.00246956 0.00411632 0.67786721 0.73516869
1670531275.60206652 9.17509318 1.18073489 0.14928487 -0.00347488 0.00185464 0.69667161 0.71737937
1670531275.70219493 9.17528718 1.27524040 0.14761686 -0.00514352 0.00471053 0.71561003 0.69846520
1670531275.80235696 9.16707890 1.37084132 0.15254564 -0.00674067 0.00475159 0.73396179 0.67914069
1670531275.90248370 9.15010417 1.46116697 0.15549696 -0.00303347 0.00280785 0.75223146 0.65888599
1670531276.00527549 9.12669754 1.54560520 0.15171593 -0.00465500 0.00045295 0.76019292 0.64968057
1670531276.10585928 9.11282678 1.63590747 0.15451969 -0.00310347 -0.00143750 0.75893390 0.65115868
1670531276.20371485 9.10156308 1.72422669 0.15145647 -0.00333423 -0.00007131 0.75989547 0.65003673
1670531276.30369186 9.08625561 1.82299449 0.14411466 -0.00843333 0.00322974 0.75960715 0.65031948
1670531276.40346956 9.07253327 1.91002915 0.14857620 -0.00323415 -0.00103785 0.75920270 0.65084539
1670531276.50313568 9.06125232 1.99994743 0.14673825 0.00040390 -0.00013958 0.75960628 0.65038306
1670531276.60280395 9.04433912 2.09484273 0.14778559 -0.00209673 -0.00268848 0.75865748 0.65148078
1670531276.70250678 9.02660183 2.18897045 0.14852993 -0.00624620 0.00056595 0.75736855 0.65295754
1670531276.80223656 9.01179777 2.27599317 0.14572753 0.00023558 -0.00248764 0.75849656 0.65167225
1670531276.90210772 8.99840550 2.36879583 0.14883417 -0.00597251 -0.00111586 0.75754122 0.65275906
1670531277.00206637 8.98137403 2.46480101 0.15364497 -0.00574745 -0.00174623 0.75666773 0.65377202
1670531277.10200477 8.96887918 2.56690095 0.14997213 -0.00636819 0.00693157 0.75680182 0.65357662
1670531277.20200992 8.95318228 2.65779706 0.14417580 -0.01152471 0.00457622 0.75619674 0.65422682
1670531277.30200529 8.93933760 2.75108830 0.13335335 -0.00891055 0.00673814 0.75598609 0.65449235
1670531277.40377402 8.92130329 2.83459715 0.14549971 -0.00799372 -0.00234507 0.75177099 0.65937166
1670531277.50220513 8.90824652 2.90920622 0.12525157 0.01277892 -0.00991641 0.75291326 0.65792096
1670531277.60233784 8.90833657 2.99534487 0.14149882 0.01131786 -0.01414400 0.74949047 0.66176724
1670531277.70242596 8.88600225 3.10179259 0.15348504 0.00101793 -0.01228673 0.74675358 0.66498653
1670531277.80227542 8.87224914 3.20970814 0.14439086 -0.00375271 0.00430878 0.74988959 0.66153833
1670531277.90231466 8.85899165 3.31273755 0.15953201 -0.00695345 -0.00122706 0.74670174 0.66512154
1670531278.00228715 8.84765207 3.40044440 0.16309582 -0.00105695 -0.00297486 0.74631027 0.66559073
1670531278.10226059 8.83883847 3.49225390 0.16259293 -0.00811977 -0.00282832 0.74501485 0.66699246
1670531278.20218897 8.82180034 3.59165813 0.16010863 -0.01385748 0.00010121 0.74422624 0.66778385
1670531278.30366826 8.80421933 3.68670448 0.15172324 -0.02055539 0.00137711 0.74327123 0.66867291
